,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
8,ORL,2008,1.0614606741573034,0.9840449438202246,0.010000000000000009,0.030000000000000027
9,ATL,2008,1.0478409090909093,1.0357303370786517,0.06000000000000005,0.040000000000000036
10,GSW,2008,1.051818181818182,1.0757303370786517,0.040000000000000036,0.050000000000000044
11,SAS,2008,1.0557777777777777,1.006629213483146,0.010000000000000009,0.040000000000000036
12,NOH,2008,1.0439772727272727,1.0296629213483146,0.030000000000000027,0.040000000000000036
13,IND,2008,1.0496629213483146,1.0459090909090911,0.040000000000000036,0.050000000000000044
14,CHI,2008,1.0309090909090908,1.0447727272727272,0.06000000000000005,0.06000000000000005
15,NJN,2008,1.0378651685393259,1.0680898876404497,0.030000000000000027,0.030000000000000027
16,HOU,2008,1.0407865168539325,0.9938636363636363,0.040000000000000036,0.030000000000000027
17,NYK,2008,1.04375,1.0668181818181819,0.020000000000000018,0.040000000000000036
18,MIA,2008,1.0382758620689656,1.0321348314606742,0.010000000000000009,0.040000000000000036
19,PHI,2008,1.0303448275862068,1.03125,0.06000000000000005,0.030000000000000027
20,DET,2008,1.0340449438202248,1.038,0.020000000000000018,0.030000000000000027
21,TOR,2008,1.0275280898876404,1.0617977528089888,0.050000000000000044,0.030000000000000027
22,MIL,2008,1.02375,1.0319318181818182,0.030000000000000027,0.040000000000000036
23,MIN,2008,1.0214606741573033,1.0679545454545456,0.030000000000000027,0.030000000000000027
24,SAC,2008,1.012359550561798,1.1020689655172415,0.06000000000000005,0.039999999999999813
25,WAS,2008,1.01,1.08,0.06000000000000005,0.040000000000000036
26,CHA,2008,1.0015909090909092,1.0273563218390804,0.040000000000000036,0.040000000000000036
27,MEM,2008,0.9889655172413793,1.0617241379310345,0.050000000000000044,0.030000000000000027
28,LAC,2008,0.990561797752809,1.076818181818182,0.050000000000000044,0.040000000000000036
29,OKC,2008,0.971590909090909,1.0439080459770116,0.040000000000000036,0.030000000000000027
0,PHX,2009,1.1133333333333335,1.0509090909090908,0.039999999999999813,0.050000000000000044
1,ATL,2009,1.0673563218390805,1.0372222222222223,0.06000000000000005,0.040000000000000036
2,ORL,2009,1.082808988764045,0.99,0.030000000000000027,0.030000000000000027
3,DEN,2009,1.071590909090909,1.026741573033708,0.040000000000000036,0.06000000000000005
4,CLE,2009,1.0626136363636365,1.00375,0.050000000000000044,0.030000000000000027
5,TOR,2009,1.066179775280899,1.0882022471910113,0.030000000000000027,0.07000000000000006
6,UTA,2009,1.0601149425287357,1.0154545454545452,0.050000000000000044,0.040000000000000036
7,POR,2009,1.067865168539326,1.0252808988764044,0.030000000000000027,0.050000000000000044
8,SAS,2009,1.0646666666666667,1.0070454545454546,0.050000000000000044,0.050000000000000044
9,DAL,2009,1.0538636363636364,1.0178651685393258,0.040000000000000036,0.040000000000000036
