,TEAM_ID,TEAM_NAME,Total_POSS,Total_PTS,PPP,SC_REMAINING,SCALED_PPP
140,1610612753,Orlando Magic,1891.0,1028.0,0.5436277102062401,7-4,0.9328504871495005
141,1610612754,Indiana Pacers,1457.0,968.0,0.664378860672615,7-4,1.1400562042636746
142,1610612755,Philadelphia 76ers,1791.0,1074.0,0.5996649916247906,7-4,1.0290089505398172
143,1610612756,Phoenix Suns,1797.0,1265.0,0.7039510294936004,7-4,1.2079609785589618
144,1610612757,Portland Trail Blazers,1435.0,841.0,0.5860627177700348,7-4,1.0056678155065497
145,1610612758,Sacramento Kings,1409.0,864.0,0.6132008516678495,7-4,1.0522361212636286
146,1610612759,San Antonio Spurs,1384.0,947.0,0.6842485549132948,7-4,1.174152063624666
147,1610612760,Oklahoma City Thunder,1184.0,761.0,0.6427364864864865,7-4,1.1029184739317488
148,1610612761,Toronto Raptors,1506.0,872.0,0.5790172642762285,7-4,0.9935780073520077
149,1610612762,Utah Jazz,1596.0,1028.0,0.6441102756892231,7-4,1.105275859147685
150,1610612763,Memphis Grizzlies,1302.0,805.0,0.6182795698924731,7-4,1.0609510647460676
151,1610612764,Washington Wizards,1302.0,736.0,0.565284178187404,7-4,0.9700124020535476
152,1610612765,Detroit Pistons,1504.0,975.0,0.6482712765957447,7-4,1.112416024466347
153,1610612766,Charlotte Hornets,1612.0,939.0,0.5825062034739454,7-4,0.999564932906245
154,0,Overall,1505.5,936.1666666666666,0.6223563065616209,7-4,1.0679466349063016
155,1610612737,Atlanta Hawks,671.0,341.0,0.5081967213114754,4-0,0.8720518659053209
156,1610612738,Boston Celtics,749.0,444.0,0.5927903871829105,4-0,1.0172123147499768
157,1610612739,Cleveland Cavaliers,587.0,361.0,0.6149914821124361,4-0,1.0553087948068953
158,1610612740,New Orleans Pelicans,763.0,424.0,0.5557011795543906,4-0,0.9535682348867045
159,1610612741,Chicago Bulls,614.0,365.0,0.5944625407166124,4-0,1.020081685109907
160,1610612742,Dallas Mavericks,698.0,371.0,0.5315186246418339,4-0,0.912071622945897
161,1610612743,Denver Nuggets,717.0,356.0,0.496513249651325,4-0,0.8520033436811063
